id,icao_code,iata_code,name,type,city_id,country_id,continent_id,latitude_deg,longitude_deg,elevation_ft
4241,OISR,LFM,Lamerd Airport,medium_airport,22930,78,1,27.3727,53.188801,1337
4242,KLHZ,LFN,Triangle North Executive Airport,small_airport,49822,188,4,36.0233,-78.330299,369
4243,HAKL,LFO,Kelafo East Airport,small_airport,20547,57,2,5.657000065,44.34999847,1730
4244,YLFD,LFP,Lakefield Airport,small_airport,49823,9,6,-14.9207,144.203,107
4245,ZBLF,LFQ,Linfen Yaodu Airport,medium_airport,49824,36,1,36.132629,111.641236,1483
4247,KLFT,LFT,Lafayette Regional Airport,medium_airport,22700,188,4,30.205299,-91.987602,42
4248,DXXX,LFW,Lomé–Tokoin International Airport,medium_airport,49825,177,2,6.16561,1.25451,72
4249,KLGA,LGA,La Guardia Airport,large_airport,29332,188,4,40.777199,-73.872597,21
4250,KLGB,LGB,Long Beach Airport (Daugherty Field),medium_airport,24084,188,4,33.816523,-118.149891,60
4251,KLGC,LGC,LaGrange Callaway Airport,small_airport,22744,188,4,33.008873,-85.074331,693
4252,KLGD,LGD,La Grande/Union County Airport,small_airport,22490,188,4,45.29019928,-118.0070038,2717
4253,LGE,LGE,Mulan Airport,small_airport,49826,9,6,-20.1089,127.619,978
4254,KLGF,LGF,Laguna Army Airfield,small_airport,49827,188,4,32.86000061,-114.3970032,433
4255,EBLG,LGG,Liège Airport,medium_airport,49828,17,3,50.638574,5.443897,659
4257,MYLD,LGI,Deadman's Cay Airport,medium_airport,49829,12,4,23.17900085,-75.09359741,9
4258,WMKL,LGK,Langkawi International Airport,medium_airport,49830,106,1,6.329730034,99.72869873,29
4259,WBGF,LGL,Long Lellang Airport,small_airport,49831,106,1,3.421000004,115.1539993,1400
4260,LGN,LGN,Linga Linga Airport,small_airport,49832,137,6,-5.531944444,149.7341667,17
4261,EDWL,LGO,Langeoog Airport,small_airport,49833,64,3,53.742379,7.496345,7
4262,SENL,LGQ,Nueva Loja Airport,small_airport,49834,50,5,0.093056001,-76.86750031,980
